level_diff,age_diff,freq_match,win_rate_diff,compatible
1,1,1,0.13,0
1,3,0,0.24,0
0,3,1,0.00,1
1,5,1,0.16,0
0,7,0,0.12,0
1,7,1,0.18,0
0,8,1,0.01,1
0,9,0,0.06,0
0,10,1,0.04,0

0,2,0,0.11,0
1,2,1,0.13,1
0,4,1,0.03,1
1,6,0,0.01,0
0,6,1,0.05,1
1,7,1,0.14,0
1,8,0,0.19,0
1,9,1,0.09,0

1,0,0,0.24,0
0,2,0,0.08,0
1,4,0,0.12,0
0,4,0,0.06,0
1,5,0,0.25,0
1,6,0,0.30,0
1,7,0,0.20,0

1,2,1,0.16,0
0,4,0,0.12,0
1,4,1,0.18,0
0,5,1,0.01,1
0,6,0,0.06,0
0,7,1,0.04,1

1,2,0,0.04,0
0,2,1,0.02,1
1,3,1,0.17,0
1,4,0,0.22,0
1,5,1,0.12,0

1,0,0,0.06,0
0,1,0,0.13,1
0,2,1,0.18,1
0,3,0,0.08,0

1,1,1,0.19,0
1,2,0,0.24,0
1,3,1,0.14,0

0,1,0,0.05,1
0,2,1,0.05,1

0,1,0,0.10,0